3,0,6,sda
5,0,5,scl
7,x,x,not lit
8,2,6,txd,green
10,2,5,rxd,red
11,3,6,io17
12,3,5,io18
13,0,3,io27
15,1,5,io22
16,1,6,io23
18,2,4,io24
19,3,4,mosi
21,3,3,miso
22,2,3,io25
23,3,2,sclk
24,3,1,ce0
26,3,0,ce1
29,2,2,io5
31,2,1,io6
32,1,2,io12
33,0,1,io13
35,1,0,io19
36,2,0,io16
37,0,0,io26
38,1,1,io20
40,0,2,io21
